GameID,Season,Date,Team,Home/Away,Opp,Outcome,HomeScore,OppScore,TotalScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TotalReb%,AST%,STL%,BLK%,eFG,TOV%,ORB%,FTperFGA,eFGagainst,TOVagainst,DRB%,FTperFGAallowed
27,2016,12/17/16,ATL,Home,CHO,L,99,107,206,103,111.3,96.1,0.186,0.302,0.532,52.2,65,4.2,3.3,0.523,11.4,20,0.105,0.557,11.4,84.4,0.102
28,2016,12/19/16,ATL,Away,OKC,W,110,108,218,117.9,115.8,93.3,0.32,0.307,0.643,44.3,58.5,5.4,3.8,0.607,14.9,14.7,0.253,0.506,10.9,66.7,0.23
29,2016,12/21/16,ATL,Home,MIN,L,84,92,176,95.8,104.9,87.7,0.159,0.317,0.479,40.2,55.9,10.3,14.8,0.457,10.2,17.8,0.11,0.476,16,64.3,0.157
30,2016,12/23/16,ATL,Away,DEN,W,109,108,217,111.1,110,98.1,0.384,0.291,0.542,46.5,70.3,10.2,7.5,0.477,7.4,18.8,0.314,0.526,13.8,81.6,0.333
31,2016,12/26/16,ATL,Away,MIN,L,90,104,194,100.1,115.7,89.9,0.205,0.386,0.497,53.5,57.1,8.9,13.7,0.47,17.4,37,0.145,0.543,13.5,72.5,0.183
32,2016,12/28/16,ATL,Home,NYK,W,102,98,200,97.9,94,94.4,0.267,0.267,0.452,50,51.4,7.7,4.5,0.401,10.3,29.3,0.208,0.414,14,73.1,0.226
33,2016,12/30/16,ATL,Home,DET,W,105,98,203,109.3,102,96,0.284,0.295,0.53,50.6,74.4,10.4,3.8,0.489,13.2,29.3,0.216,0.47,16.2,69.6,0.226
34,2016,1/1/17,ATL,Home,SAS,W,114,112,226,112.8,110.8,91.5,0.293,0.304,0.549,49.5,59.5,5.9,9.5,0.533,9.6,22.4,0.174,0.517,10.7,79.5,0.211
35,2016,1/4/17,ATL,Away,ORL,W,111,92,203,115.5,95.7,96.1,0.222,0.235,0.624,49.4,61.4,12.5,5.2,0.605,11.9,9.1,0.16,0.483,15.8,78.3,0.105
36,2016,1/5/17,ATL,Away,NOP,W,99,94,193,101.8,96.7,97.2,0.189,0.256,0.508,51.4,60.5,9.3,10.3,0.472,12.6,24.5,0.156,0.446,13.1,74.1,0.118
37,2016,1/7/17,ATL,Away,DAL,W,97,82,179,106,89.6,91.5,0.432,0.297,0.551,53.4,63.3,8.7,2.2,0.48,10.2,14.6,0.351,0.445,13.9,87.2,0.11
38,2016,1/10/17,ATL,Away,BRK,W,117,97,214,116,96.2,100.8,0.413,0.25,0.538,52.5,56.8,10.9,20.7,0.516,9.9,30.6,0.239,0.46,14.9,73.1,0.195
39,2016,1/13/17,ATL,Home,BOS,L,101,103,204,110.8,113,91.1,0.25,0.357,0.542,50,61.1,5.5,12.8,0.494,11.4,26.1,0.214,0.536,11.6,77.5,0.169
40,2016,1/15/17,ATL,Home,MIL,W,111,98,209,125,110.4,88.8,0.225,0.325,0.631,50.7,69,10.1,6.7,0.606,17.8,37.8,0.175,0.532,15.5,63.9,0.177
41,2016,1/16/17,ATL,Away,NYK,W,108,107,215,111.6,110.5,96.8,0.264,0.368,0.556,40.4,65,11.4,5.1,0.529,9.3,17.4,0.184,0.541,15.9,65.1,0.176
42,2016,1/18/17,ATL,Away,DET,L,95,118,213,100.2,124.4,94.8,0.474,0.321,0.504,34.8,73.3,1.1,6.1,0.423,11.3,16,0.372,0.549,10.4,57.1,0.198
43,2016,1/20/17,ATL,Home,CHI,W,102,93,195,104.6,95.4,97.5,0.232,0.268,0.564,49.4,59,16.4,5.7,0.53,17.4,25.6,0.183,0.463,21.2,71.4,0.222
44,2016,1/21/17,ATL,Home,PHI,W,110,93,203,110,93,100,0.253,0.22,0.544,54.7,53.3,8,10.2,0.533,11.4,25.6,0.143,0.5,20.4,83.7,0.192
45,2016,1/23/17,ATL,Home,LAC,L,105,115,220,110.8,121.3,94.8,0.295,0.33,0.528,46.5,75.7,8.4,3.3,0.472,7.4,18.2,0.25,0.583,10.5,76.2,0.202
46,2016,1/25/17,ATL,Away,CHI,W,119,114,233,123.9,118.7,96.1,0.229,0.361,0.651,48.8,67.4,5.2,7.5,0.62,12.5,17.1,0.193,0.5,5.4,73.3,0.213
47,2016,1/27/17,ATL,Home,WAS,L,86,112,198,84.7,110.3,101.5,0.301,0.373,0.457,44.1,60,8.9,13.8,0.416,16.8,17,0.205,0.556,15.6,71.7,0.146
48,2016,1/29/17,ATL,Home,NYK,W,142,139,281,109.4,107.1,91.6,0.336,0.261,0.52,50.4,69.2,3.1,2.6,0.479,9.3,26.2,0.235,0.469,8,75.8,0.148
49,2016,2/1/17,ATL,Away,MIA,L,93,116,209,93.3,116.3,99.7,0.244,0.302,0.488,47.8,38.2,10,9.8,0.436,13.6,19.6,0.209,0.548,10.6,77.3,0.151
50,2016,2/2/17,ATL,Away,HOU,W,113,108,221,106.5,101.8,106.1,0.271,0.353,0.594,60.2,59.1,7.5,11.9,0.565,17.4,21.1,0.2,0.446,7.7,87.3,0.269
51,2016,2/4/17,ATL,Home,ORL,W,113,86,199,121.2,92.2,93.3,0.346,0.359,0.629,59.3,68.3,8.6,3.9,0.59,14.3,27.8,0.269,0.391,12.6,84.4,0.321
52,2016,2/6/17,ATL,Home,UTA,L,95,120,215,104.8,132.3,90.7,0.432,0.23,0.539,40.5,48.5,6.6,5.6,0.486,12,16.7,0.311,0.675,12,71.9,0.15
53,2016,2/8/17,ATL,Home,DEN,W,117,106,223,123,111.5,95.1,0.194,0.29,0.58,49.5,66,6.3,7.1,0.548,9,30,0.161,0.465,8.4,63.2,0.13
54,2016,2/10/17,ATL,Away,SAC,L,107,108,215,110.3,111.4,97,0.437,0.423,0.632,48.7,52.8,6.2,11.4,0.585,15.9,8.8,0.338,0.588,16.8,81,0.175
55,2016,2/13/17,ATL,Away,POR,W,109,104,213,105,100.2,94,0.578,0.337,0.523,44.1,62.5,8.7,18,0.434,8,13.7,0.446,0.437,10.9,67.2,0.136
56,2016,2/15/17,ATL,Away,LAC,L,84,99,183,88.6,104.4,94.8,0.241,0.329,0.481,52.9,62.5,5.3,2.4,0.449,18.6,22.2,0.165,0.557,16,87.5,0.139
57,2016,2/24/17,ATL,Home,MIA,L,90,108,198,93.5,112.2,96.2,0.456,0.253,0.474,45.5,46.7,7.3,9.7,0.418,9.5,17,0.304,0.49,10.3,71.2,0.111
58,2016,2/25/17,ATL,Away,ORL,L,86,105,191,88.1,107.6,97.6,0.306,0.294,0.446,50.5,65.6,4.1,7.4,0.424,15,23.1,0.165,0.506,12.4,83.7,0.284
59,2016,2/27/17,ATL,Away,BOS,W,114,98,212,110.4,94.9,103.3,0.211,0.263,0.549,57.9,47.8,9.7,18.9,0.516,11.9,29.5,0.168,0.448,15.5,82.4,0.23
60,2016,3/1/17,ATL,Home,DAL,W,100,95,195,109.8,104.3,91.1,0.375,0.328,0.671,50.7,66.7,13.2,9.1,0.641,22.8,14.8,0.281,0.545,19.5,75,0.143
61,2016,3/3/17,ATL,Home,CLE,L,130,135,265,127,131.9,102.3,0.33,0.286,0.624,56.6,61.2,6.8,10,0.593,10.3,28.2,0.242,0.692,12.9,86.5,0.186
