GameID,Season,Date,Team,Home/Away,Opp,Outcome,HomeScore,OppScore,TotalScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TotalReb%,AST%,STL%,BLK%,eFG,TOV%,ORB%,FTperFGA,eFGagainst,TOVagainst,DRB%,FTperFGAallowed
2624,2017,2/3/18,DET,Home,MIA,W,111,107,218,116.8,112.5,95.1,0.202,0.31,0.607,59.8,52.3,7.4,9.1,0.577,15.7,33.3,0.167,0.56,10.5,83.7,0.055
2625,2017,2/5/18,DET,Home,POR,W,111,91,202,116.2,95.2,95.6,0.136,0.341,0.595,53.1,81.8,7.3,6.6,0.585,13,23.8,0.091,0.447,11.8,75.9,0.074
2626,2017,2/7/18,DET,Home,BRK,W,115,106,221,112.1,103.4,102.5,0.272,0.261,0.558,47.9,45.5,9.8,7.7,0.527,6.4,16,0.196,0.528,16.6,82.6,0.122
2627,2017,2/9/18,DET,Home,LAC,L,95,108,203,101.9,115.9,93.2,0.193,0.352,0.497,41.2,61.1,5.4,8.2,0.466,8.6,14,0.148,0.516,8.4,70.2,0.154
2628,2017,2/11/18,DET,Away,ATL,L,115,118,233,116,119.1,99.1,0.398,0.398,0.59,53.3,78.9,6.1,8.2,0.536,13.3,27.9,0.313,0.551,12.1,87.5,0.41
2629,2017,2/12/18,DET,Home,NOP,L,103,118,221,97.4,111.6,105.7,0.337,0.368,0.472,50.5,51.4,4.7,4.5,0.416,11.4,24.6,0.253,0.51,9.3,80,0.16
2630,2017,2/14/18,DET,Home,ATL,W,104,98,202,106.4,100.3,97.7,0.301,0.398,0.553,52.2,74.3,3.1,8.9,0.5,14.5,22.2,0.253,0.461,10.2,82.2,0.18
2631,2017,2/23/18,DET,Home,BOS,L,98,110,208,106.2,119.1,92.3,0.247,0.388,0.52,51.7,43.2,4.3,8.7,0.494,12.1,27.3,0.165,0.582,10.6,76.7,0.129
2632,2017,2/25/18,DET,Away,CHO,L,98,114,212,97.9,113.9,100.1,0.165,0.212,0.538,46.6,54.8,4,3.8,0.518,15.7,19,0.118,0.568,15.5,71.7,0.159
2633,2017,2/26/18,DET,Away,TOR,L,94,123,217,93.9,122.8,100.1,0.213,0.234,0.457,47.2,55.6,11,7.1,0.42,11.2,24.1,0.16,0.631,16.6,82.9,0.275
2634,2017,2/28/18,DET,Home,MIL,W,110,87,197,123.3,97.5,89.2,0.232,0.305,0.525,62,61.9,10.1,0,0.489,7.9,43.1,0.179,0.438,13.2,85.4,0.315
2635,2017,3/2/18,DET,Away,ORL,L,106,115,221,104.7,113.6,91.7,0.261,0.315,0.517,48.9,55,9.9,2,0.5,12,25.5,0.152,0.587,14.5,81.1,0.163
2636,2017,3/3/18,DET,Away,MIA,L,96,105,201,103.8,113.5,92.5,0.236,0.27,0.489,50.5,48.6,8.6,3.8,0.455,15.5,36.2,0.169,0.524,12.1,65.9,0.232
2637,2017,3/5/18,DET,Away,CLE,L,90,112,202,94,117,95.7,0.172,0.391,0.481,43,50,9.4,10.9,0.46,10.5,16,0.115,0.557,12.8,74.4,0.159
2638,2017,3/7/18,DET,Home,TOR,L,119,121,240,112.6,114.5,95.7,0.256,0.289,0.594,52,61.4,1.9,11.5,0.561,13.8,20,0.2,0.505,7.5,79.2,0.188
2639,2017,3/9/18,DET,Home,CHI,W,99,83,182,104.6,87.7,94.7,0.222,0.333,0.557,54.3,57.9,8.5,14.5,0.525,15.2,25.6,0.173,0.403,11.8,79.6,0.086
2640,2017,3/13/18,DET,Away,UTA,L,79,110,189,82.4,114.8,95.8,0.238,0.313,0.447,38.1,46.7,14.6,9.5,0.406,16.1,16.3,0.175,0.638,20.3,68.6,0.171
2641,2017,3/15/18,DET,Away,DEN,L,113,120,233,113.1,120.1,99.9,0.185,0.293,0.568,47.7,68.2,8,7,0.554,10,20.5,0.12,0.576,13.4,76.2,0.259
2642,2017,3/17/18,DET,Away,POR,L,87,100,187,93.7,107.7,92.9,0.25,0.313,0.49,46.7,54.8,6.5,3.6,0.45,11.9,16.7,0.188,0.483,10.4,79.5,0.184
2643,2017,3/19/18,DET,Away,SAC,W,106,90,196,114.5,97.2,92.6,0.278,0.367,0.598,53,45.9,6.5,7.7,0.557,9.2,16.2,0.228,0.489,12.4,82.6,0.045
2644,2017,3/20/18,DET,Away,PHO,W,115,88,203,115.1,88.1,99.9,0.165,0.371,0.553,50.5,51.2,12,25,0.521,7.1,24.5,0.144,0.417,16.1,76,0.144
2645,2017,3/22/18,DET,Away,HOU,L,96,100,196,91.5,95.4,95,0.2,0.4,0.464,55.9,55,8.6,10.4,0.453,12.7,28.6,0.105,0.414,9.7,80.6,0.182
2646,2017,3/24/18,DET,Home,CHI,W,117,95,212,123.6,100.4,94.7,0.207,0.483,0.616,52.7,76.7,6.3,11.3,0.586,12,28.6,0.172,0.459,10.6,72.5,0.062
2647,2017,3/26/18,DET,Home,LAL,W,112,106,218,112,106,100,0.15,0.33,0.525,51.5,47.7,4,3.2,0.505,6.2,19.6,0.11,0.506,9.4,87,0.235
2648,2017,3/29/18,DET,Home,WAS,W,103,92,195,107.1,95.7,96.1,0.238,0.25,0.555,50.6,63.4,9.4,5.3,0.524,14.7,24.4,0.179,0.449,13.6,73.9,0.135
2649,2017,3/31/18,DET,Away,NYK,W,115,109,224,120.5,114.2,95.4,0.259,0.282,0.607,51.8,54.5,8.4,8.1,0.576,8.7,24.4,0.2,0.544,12.7,78.6,0.11
2650,2017,4/1/18,DET,Away,BRK,W,108,96,204,111.9,99.4,96.5,0.381,0.226,0.551,57,44.7,9.3,6.8,0.494,8.4,22.7,0.298,0.494,11.4,87.8,0.115
2651,2017,4/4/18,DET,Home,PHI,L,108,115,223,105.3,112.1,102.6,0.261,0.409,0.55,48.8,76.9,3.9,8.5,0.534,14.8,19.6,0.159,0.567,11.8,82.5,0.157
2652,2017,4/6/18,DET,Home,DAL,W,113,106,219,111.1,104.2,92.1,0.185,0.326,0.568,51.6,52.2,5.9,7.5,0.565,10,14.3,0.098,0.505,10.7,81.1,0.141
2653,2017,4/8/18,DET,Away,MEM,L,117,130,247,121.5,135,96.3,0.247,0.505,0.567,46.9,78.9,10.4,0,0.532,10.4,28.6,0.194,0.675,11.4,75,0.217
2654,2017,4/9/18,DET,Home,TOR,L,98,108,206,112,123.5,87.5,0.321,0.385,0.551,40.7,62.9,8,4.2,0.506,3.3,9.1,0.244,0.598,9.2,78.4,0.046
2655,2017,4/11/18,DET,Away,CHI,W,119,87,206,123.4,90.2,96.4,0.112,0.393,0.637,54,57.4,12.4,7.7,0.612,10.5,20,0.112,0.436,16.1,76.9,0.14
2656,2018,10/17/18,DET,Home,BRK,W,103,100,203,103,100,100,0.239,0.261,0.506,54.1,53.8,5,9.1,0.457,12.1,29.2,0.207,0.518,15.6,86.5,0.183
2657,2018,10/20/18,DET,Away,CHI,W,118,116,234,118.1,116.1,99.9,0.228,0.396,0.531,54.4,51.2,4,6.1,0.495,7.5,33.3,0.178,0.546,10.1,86.1,0.241
2658,2018,10/23/18,DET,Home,PHI,W,133,132,265,119.3,118.4,101,0.25,0.306,0.555,48.9,43.1,3.6,7.3,0.528,6.3,23.1,0.176,0.571,9.1,81,0.204
2659,2018,10/25/18,DET,Home,CLE,W,110,103,213,115.3,108,95.4,0.372,0.359,0.606,61.5,51.2,4.2,7.7,0.596,18.1,36.1,0.218,0.506,8.6,83.3,0.146
2660,2018,10/27/18,DET,Home,BOS,L,89,109,198,88.2,108,100.9,0.225,0.416,0.455,46.5,48.5,4,5.8,0.41,10.1,11.5,0.18,0.535,11.8,83.7,0.198
2661,2018,10/30/18,DET,Away,BOS,L,105,108,213,102,105,102.9,0.307,0.341,0.526,52.1,45.9,5.8,5.7,0.466,14.5,22.4,0.261,0.494,12.5,83,0.298
2662,2018,10/31/18,DET,Away,BRK,L,119,120,239,108.8,109.7,99.1,0.419,0.366,0.54,50,41,7.3,9.5,0.478,12.7,27.5,0.323,0.485,12.3,69.5,0.218
2663,2018,11/3/18,DET,Away,PHI,L,99,109,208,93.5,102.9,105.9,0.494,0.361,0.49,49.4,48.5,7.6,7.5,0.428,14.4,14.3,0.337,0.471,15.7,92.5,0.638
2664,2018,11/5/18,DET,Home,MIA,L,115,120,235,100.3,104.7,103.8,0.267,0.333,0.49,54.5,62.8,7,4.5,0.462,13.9,33.9,0.171,0.51,13.2,81.3,0.204
2665,2018,11/7/18,DET,Away,ORL,W,103,96,199,100.5,93.7,102.4,0.222,0.411,0.521,55.6,56.8,12.7,1.7,0.472,16.1,27.7,0.2,0.511,18,86,0.08
2666,2018,11/9/18,DET,Away,ATL,W,124,109,233,120.5,105.9,102.9,0.196,0.485,0.588,45.4,65.2,9.7,11.8,0.577,8.7,18.5,0.124,0.5,14.2,79.1,0.38
2667,2018,11/11/18,DET,Home,CHO,L,103,113,216,106.7,117.1,96.5,0.183,0.423,0.458,52.6,55.3,5.2,7,0.423,8.2,35.5,0.144,0.571,11.4,82.9,0.188
2668,2018,11/14/18,DET,Away,TOR,W,106,104,210,100.8,98.9,105.1,0.143,0.363,0.548,44.3,54.5,7.6,6.9,0.538,14.9,15.9,0.088,0.511,16.7,72.7,0.109
2669,2018,11/19/18,DET,Home,CLE,W,113,102,215,125.7,113.4,89.9,0.213,0.427,0.58,58.1,63.4,5.6,6.9,0.534,9.3,34.2,0.202,0.494,8.7,77.1,0.304
2670,2018,11/21/18,DET,Away,HOU,L,124,126,250,127.1,129.1,97.6,0.435,0.4,0.612,50.7,50,8.2,2.6,0.565,13.6,32.6,0.329,0.646,14.6,81.5,0.458
2671,2018,11/23/18,DET,Home,HOU,W,116,111,227,116,111,90.5,0.455,0.307,0.549,52.7,45,11,8.1,0.494,11,34.1,0.33,0.469,11.5,67.3,0.194
2672,2018,11/25/18,DET,Home,PHO,W,118,107,225,120.6,109.4,97.8,0.269,0.441,0.567,49.4,69.8,9.2,0,0.548,10.3,28.9,0.172,0.561,15.7,73.7,0.183
2673,2018,11/27/18,DET,Home,NYK,W,115,108,223,111.4,104.6,103.2,0.563,0.3,0.576,49,52.6,4.8,10.9,0.519,11.5,15.9,0.4,0.445,11,75.9,0.297
2674,2018,11/30/18,DET,Home,CHI,W,107,88,195,110,90.4,97.3,0.174,0.37,0.54,56.5,58.5,5.1,7.7,0.516,11.6,28.3,0.13,0.448,14,84.8,0.128
2675,2018,12/1/18,DET,Home,GSW,W,111,102,213,111.9,102.9,99.2,0.204,0.357,0.52,51.6,51.2,8.1,3.4,0.5,9.3,28,0.133,0.494,12.9,80.5,0.212
2676,2018,12/3/18,DET,Home,OKC,L,83,110,193,79.6,105.5,104.2,0.202,0.34,0.405,44.1,51.6,9.6,5,0.362,12.8,16.4,0.16,0.547,15.3,84.2,0.2
2677,2018,12/5/18,DET,Away,MIL,L,92,115,207,86.4,108,106.5,0.2,0.4,0.445,52.6,54.3,5.6,2.4,0.416,16.2,22.2,0.137,0.549,13.6,90.7,0.305
2678,2018,12/7/18,DET,Home,PHI,L,111,117,228,111.1,117.1,99.9,0.416,0.315,0.527,55.1,59.5,10,5.2,0.455,13.2,37.8,0.337,0.539,13.9,72.7,0.222
2679,2018,12/9/18,DET,Home,NOP,L,108,116,224,109.3,117.4,98.8,0.245,0.296,0.497,50,65.1,8.1,10.2,0.485,8.4,30.4,0.133,0.608,16.8,78.9,0.253
2680,2018,12/10/18,DET,Away,PHI,L,102,116,218,104.4,118.8,97.7,0.25,0.25,0.547,48.9,56.1,5.1,9.8,0.542,13.9,23.8,0.131,0.528,11.2,69.2,0.261
2681,2018,12/12/18,DET,Away,CHO,L,107,108,215,108.4,109.4,98.7,0.244,0.395,0.562,53.8,57.5,4.1,17.5,0.541,12.8,21.7,0.163,0.465,6.5,86.7,0.341
2682,2018,12/15/18,DET,Home,BOS,W,113,104,217,110.4,101.6,102.3,0.438,0.375,0.592,52.2,64.1,9.8,11.5,0.55,15.9,23.8,0.313,0.463,11.9,76,0.181
2683,2018,12/17/18,DET,Home,MIL,L,104,107,211,106.3,109.4,97.8,0.17,0.398,0.55,54.9,64.1,3.1,3.2,0.523,14.5,23.8,0.136,0.551,9.6,87.5,0.114
2684,2018,12/19/18,DET,Away,MIN,W,129,123,252,119.3,113.7,98,0.298,0.511,0.607,47.3,56.5,2.8,2.9,0.596,10.9,17.4,0.181,0.481,5.7,76.6,0.233
2685,2018,12/21/18,DET,Away,CHO,L,86,98,184,95.5,108.9,90,0.268,0.415,0.469,48.8,65.6,8.9,9.8,0.439,13.2,27.3,0.171,0.52,15.5,72.5,0.267
2686,2018,12/23/18,DET,Home,ATL,L,95,98,193,93.4,96.3,101.8,0.325,0.349,0.501,43.2,61.8,5.9,13.2,0.47,14.4,11.4,0.205,0.429,13.6,70.6,0.22
2687,2018,12/26/18,DET,Home,WAS,W,106,95,201,109.5,98.1,96.8,0.238,0.463,0.6,59.7,67.6,8.3,8,0.55,20.7,30.6,0.225,0.512,15.3,85.4,0.12
2688,2018,12/28/18,DET,Away,IND,L,88,125,213,88.1,125.2,99.9,0.132,0.396,0.457,50.6,73.5,7,8.8,0.423,18.6,30.8,0.121,0.638,11.9,80,0.161
2689,2018,12/30/18,DET,Away,ORL,L,107,109,216,111.7,113.8,95.8,0.25,0.337,0.524,53.1,53.8,6.3,3.3,0.467,9.7,32.1,0.228,0.512,12,79.1,0.259
2690,2018,1/1/19,DET,Away,MIL,L,98,121,219,100.3,123.9,97.7,0.228,0.359,0.484,50,65.7,7.2,3.8,0.446,12.1,26.9,0.174,0.658,12.6,85.3,0.215
2691,2018,1/2/19,DET,Away,MEM,W,101,94,195,112.4,104.6,89.8,0.265,0.482,0.545,48.8,63.9,7.8,5,0.53,7,16.3,0.157,0.487,11.2,81.4,0.231
2692,2018,1/5/19,DET,Home,UTA,L,105,110,215,103.9,108.9,101,0.244,0.305,0.578,51.2,46.2,6.9,3.3,0.543,16.5,12.5,0.195,0.518,11.1,84.8,0.305
2693,2018,1/7/19,DET,Home,SAS,L,107,119,226,117.4,130.5,91.2,0.2,0.376,0.579,49.3,52.4,5.5,3.4,0.547,9.8,23.7,0.165,0.589,8.8,75.7,0.329
2694,2018,1/9/19,DET,Away,LAL,L,100,113,213,107.5,121.5,93,0.163,0.512,0.543,41.3,59,8.6,3.4,0.535,8.9,15.6,0.093,0.61,13.5,74.3,0.159
2695,2018,1/10/19,DET,Away,SAC,L,102,112,214,101.6,111.5,100.4,0.293,0.463,0.551,44,62.9,12.9,4.7,0.494,17,20,0.256,0.564,16.7,71.8,0.174
2696,2018,1/12/19,DET,Away,LAC,W,109,104,213,114.3,109.1,95.3,0.259,0.435,0.576,55.8,54.1,12.6,8.9,0.529,14.5,30.4,0.224,0.547,16.4,85,0.311
2697,2018,1/14/19,DET,Away,UTA,L,94,100,194,95.1,101.2,98.8,0.178,0.4,0.484,40.9,45.7,13.2,9.3,0.45,8.5,10.2,0.144,0.463,15.1,75,0.325
2698,2018,1/16/19,DET,Home,ORL,W,120,115,235,122.7,117.5,88.6,0.272,0.326,0.583,56,59.1,4.1,7.3,0.543,8.8,32.6,0.217,0.574,9.9,80.5,0.074
2699,2018,1/18/19,DET,Home,MIA,W,98,93,191,104.2,98.9,94.1,0.22,0.402,0.545,48.3,65.7,7.4,4.2,0.506,10.9,17.4,0.183,0.571,18.2,82.9,0.065
2700,2018,1/19/19,DET,Home,SAC,L,101,103,204,109.5,111.7,92.2,0.305,0.354,0.543,54.1,58.3,6.5,3.1,0.5,13.1,31.7,0.232,0.506,10.2,75,0.146
2701,2018,1/21/19,DET,Away,WAS,L,87,101,188,88.6,102.9,98.2,0.234,0.442,0.512,47.1,71,5.1,5.4,0.474,16.7,4.8,0.182,0.506,12.5,88.4,0.266
2702,2018,1/23/19,DET,Away,NOP,W,98,94,192,101.4,97.3,96.6,0.213,0.438,0.503,50,66.7,5.2,4.3,0.478,8.5,18,0.146,0.495,11.2,83.3,0.044
2703,2018,1/25/19,DET,Away,DAL,L,101,106,207,109.7,115.1,92.1,0.294,0.447,0.526,51.7,62.9,6.5,0,0.482,11.1,27.7,0.224,0.543,8.7,78.6,0.222
2704,2018,1/29/19,DET,Home,MIL,L,105,115,220,112.4,123.1,93.4,0.135,0.416,0.557,50,69,8.6,5.5,0.539,10.4,23.3,0.101,0.615,9.9,82.9,0.092
2705,2018,1/31/19,DET,Home,DAL,W,93,89,182,103.7,99.3,89.7,0.267,0.384,0.484,54.2,63.6,5.6,7.9,0.436,10.3,31.3,0.209,0.449,9.6,77.1,0.114
2706,2018,2/2/19,DET,Home,LAC,L,101,111,212,105,115.3,96.2,0.241,0.506,0.55,44.7,60,6.2,6.5,0.524,13.2,16.3,0.169,0.549,11,73.8,0.256
2707,2018,2/4/19,DET,Home,DEN,W,129,103,232,128.9,102.9,100.1,0.227,0.42,0.666,62.4,66.7,8,12.5,0.636,17.1,42.1,0.193,0.495,11.3,78.7,0.13
2708,2018,2/5/19,DET,Away,NYK,W,105,92,197,115.6,101.3,90.8,0.304,0.43,0.586,48.2,59.5,4.4,12.3,0.544,9.1,16.2,0.241,0.45,10.2,72.9,0.122
2709,2018,2/8/19,DET,Home,NYK,W,120,103,223,123.8,106.3,96.9,0.337,0.349,0.608,54.1,57.1,3.1,10.7,0.564,10.8,27.5,0.267,0.494,11.9,77.8,0.333
2710,2018,2/11/19,DET,Home,WAS,W,121,112,233,122.8,113.7,98.5,0.247,0.424,0.642,56.5,56.8,6.1,4.4,0.606,14.5,25,0.212,0.583,13.2,84.4,0.167
2711,2018,2/13/19,DET,Away,BOS,L,110,118,228,112,120.1,98.2,0.405,0.476,0.556,46.6,52.8,7.1,2,0.506,10,21.3,0.298,0.602,14.5,75.6,0.136
2712,2018,2/22/19,DET,Away,ATL,W,125,122,247,121.5,118.6,102.9,0.295,0.421,0.582,48.4,43.5,10.7,8.7,0.563,6.9,21.3,0.189,0.602,15.7,77.3,0.182
2713,2018,2/23/19,DET,Away,MIA,W,119,96,215,124.9,100.8,95.2,0.325,0.413,0.651,55.4,50,6.3,9.3,0.613,13.3,22.6,0.263,0.47,12.2,79.1,0.232
2714,2018,2/25/19,DET,Home,IND,W,113,109,222,121.8,117.5,92.8,0.295,0.466,0.568,52.8,71.8,8.6,6.6,0.545,10.8,33.3,0.193,0.517,10.3,72.7,0.218
2715,2018,2/27/19,DET,Away,SAS,L,93,105,198,98.7,111.4,94.3,0.07,0.38,0.451,42.7,52.8,6.4,4.7,0.435,4.6,14.3,0.06,0.574,10.2,82.5,0.148
2716,2018,3/2/19,DET,Away,CLE,W,129,93,222,139.4,100.5,92.6,0.195,0.425,0.683,60.7,57.4,5.4,17.8,0.655,8.7,27.3,0.172,0.424,11.4,82.4,0.329
2717,2018,3/3/19,DET,Home,TOR,W,112,107,219,110.3,105.4,92,0.337,0.384,0.567,47.9,62.5,9.8,5.3,0.535,13.2,20,0.233,0.458,12.3,67.9,0.198
2718,2018,3/6/19,DET,Home,MIN,W,131,114,245,136,118.3,96.3,0.237,0.355,0.638,53.2,58,5.2,5.3,0.613,4.6,26.2,0.183,0.56,12.2,83.8,0.238
2719,2018,3/8/19,DET,Away,CHI,W,112,104,216,113.7,105.5,98.5,0.253,0.325,0.607,53.9,51.1,5.1,13.8,0.596,14,20.6,0.157,0.543,14.8,81,0.183
2720,2018,3/10/19,DET,Home,CHI,W,131,108,239,136.7,112.7,95.8,0.242,0.385,0.651,54.3,69.4,5.2,1.6,0.643,6.5,24.4,0.154,0.555,9.7,85,0.207
2721,2018,3/11/19,DET,Away,BRK,L,75,103,178,77,105.7,97.4,0.165,0.351,0.36,48,59.3,7.2,6.3,0.32,10.3,26.2,0.134,0.563,16.1,86.5,0.177
2722,2018,3/13/19,DET,Away,MIA,L,74,108,182,82.7,120.7,89.5,0.234,0.481,0.436,42,74.1,7.8,12.5,0.403,16.7,20.8,0.156,0.53,10.4,67.5,0.226
2723,2018,3/15/19,DET,Home,LAL,W,111,97,208,114.4,100,97,0.372,0.453,0.555,51.5,70.3,5.2,6.6,0.529,12.3,30.8,0.233,0.453,12.6,75.6,0.221
2724,2018,3/17/19,DET,Home,TOR,W,110,107,217,120.2,116.9,91.5,0.325,0.325,0.58,53.7,59,8.7,6.5,0.518,9.5,26.2,0.289,0.585,12,82.5,0.134
2725,2018,3/18/19,DET,Away,CLE,L,119,126,245,128.9,136.4,92.4,0.223,0.468,0.576,56.6,57.1,6.5,7,0.543,9.6,38,0.181,0.652,8.1,84.8,0.291
2726,2018,3/21/19,DET,Away,PHO,W,118,98,216,125.4,104.2,94.1,0.378,0.467,0.562,56.8,60.5,11.7,12.8,0.517,11,40.4,0.278,0.527,18.4,79.4,0.288
2727,2018,3/23/19,DET,Away,POR,L,112,117,229,125.4,131,89.3,0.167,0.405,0.621,40.8,57.1,10.1,5.7,0.583,7.2,16.2,0.167,0.614,11.7,67.6,0.253
2728,2018,3/24/19,DET,Away,GSW,L,114,121,235,130.7,138.7,87.2,0.298,0.369,0.6,43.9,64.1,6.9,0,0.536,5.9,25,0.286,0.709,13.6,73.1,0.216
2729,2018,3/26/19,DET,Away,DEN,L,92,95,187,96.3,99.4,95.5,0.127,0.412,0.427,50,52.8,5.2,3.3,0.407,5.3,27.4,0.088,0.466,12.8,78,0.161
2730,2018,3/28/19,DET,Home,ORL,W,115,98,213,124,105.7,92.7,0.14,0.407,0.63,50,54.3,8.6,14.3,0.634,10.8,26.3,0.07,0.436,10.5,68.8,0.17
2731,2018,3/30/19,DET,Home,POR,W,99,90,189,99.4,90.4,99.6,0.302,0.291,0.508,43.3,54.1,8,7.4,0.459,9.3,14.6,0.233,0.392,13,67.9,0.098
2732,2018,4/1/19,DET,Away,IND,L,102,111,213,108.3,117.8,94.2,0.216,0.375,0.529,49.4,55.3,7.4,9.1,0.5,13.5,31.4,0.159,0.61,16.4,78.1,0.221
2733,2018,4/3/19,DET,Home,IND,L,89,108,197,91.3,110.8,97.5,0.3,0.513,0.491,51.1,67.7,6.2,7,0.456,16.6,24.4,0.2,0.5,9.8,77.8,0.174
2734,2018,4/5/19,DET,Away,OKC,L,110,123,233,107.2,119.9,102.6,0.383,0.506,0.581,35.2,57.1,9.7,11.1,0.525,12.9,9.5,0.309,0.535,13.3,57.1,0.149
2735,2018,4/7/19,DET,Home,CHO,L,91,104,195,101.7,116.2,89.5,0.163,0.446,0.461,55.6,58.8,3.4,12.3,0.424,8.4,33.3,0.141,0.489,4.8,82.2,0.205
2736,2018,4/9/19,DET,Home,MEM,W,100,93,193,109.6,101.9,91.3,0.318,0.386,0.498,48.2,45.7,14.2,8.9,0.455,8.2,28,0.227,0.551,21.2,78.8,0.246
2737,2018,4/10/19,DET,Away,NYK,W,115,89,204,123,95.2,93.5,0.235,0.388,0.613,62.9,61,5.3,4.3,0.565,12.2,27.5,0.224,0.461,11.1,91.8,0.234
2738,2019,10/23/19,DET,Away,IND,W,119,110,229,118.8,109.8,100.2,0.423,0.308,0.643,55.6,63.4,5,8.8,0.596,16.3,27.8,0.333,0.506,13.1,77.8,0.225
2739,2019,10/24/19,DET,Home,ATL,L,100,117,217,103.3,120.9,96.8,0.259,0.435,0.528,48.1,57.1,6.2,9.1,0.471,12.1,20.9,0.235,0.576,12,78.9,0.209
2740,2019,10/26/19,DET,Home,PHI,L,111,117,228,100.3,105.7,110.7,0.474,0.25,0.604,47.9,48.8,9.9,13.2,0.592,20,13.5,0.276,0.557,18,83.3,0.23
2741,2019,10/28/19,DET,Home,IND,W,96,94,190,103.1,101,93.1,0.123,0.296,0.562,51.6,56.8,2.1,4.1,0.537,19,22,0.111,0.447,6.6,75,0.106
2742,2019,10/30/19,DET,Away,TOR,L,113,125,238,110,121.6,102.8,0.261,0.341,0.576,55.3,73.2,4.9,1.7,0.545,16.9,26.2,0.193,0.669,13.3,91.2,0.116
2743,2019,11/1/19,DET,Away,CHI,L,106,112,218,104.9,110.9,101,0.282,0.341,0.555,52.8,51.2,10.9,16.3,0.518,14.3,24.4,0.212,0.528,14.6,77.1,0.202
2744,2019,11/2/19,DET,Home,BRK,W,113,109,222,109.4,105.5,103.3,0.319,0.297,0.545,46.1,51.2,7.7,11.5,0.495,7.2,11.6,0.253,0.516,12.2,78.3,0.14
2745,2019,11/4/19,DET,Away,WAS,L,99,115,214,103.5,120.2,95.7,0.28,0.329,0.537,50.6,61.8,4.2,14.1,0.494,17.1,31.7,0.22,0.505,9.6,69,0.226
2746,2019,11/6/19,DET,Home,NYK,W,122,102,224,127.5,106.6,95.7,0.304,0.38,0.681,58.9,84.1,7.3,1.8,0.652,15.2,24.2,0.241,0.556,12.7,87.5,0.163
2747,2019,11/8/19,DET,Away,IND,L,106,112,218,111,117.2,95.5,0.209,0.384,0.564,47.6,69.2,6.3,5.9,0.529,13.8,22.7,0.174,0.542,11.3,75,0.265
2748,2019,11/11/19,DET,Home,MIN,L,114,120,234,114.2,120.3,99.8,0.287,0.368,0.582,46.4,64.1,9,9.1,0.54,14.8,26.1,0.23,0.59,14.1,71.1,0.169
2749,2019,11/12/19,DET,Away,MIA,L,108,117,225,109.6,118.8,98.5,0.474,0.526,0.573,43.2,79.4,9.1,20,0.532,14.5,19,0.321,0.623,17.6,75,0.273
2750,2019,11/15/19,DET,Away,CHO,L,106,109,215,110.7,113.8,95.8,0.136,0.432,0.617,50.6,62.5,3.1,4.9,0.586,18.1,20.6,0.136,0.516,8.8,71.4,0.104
2751,2019,11/20/19,DET,Away,CHI,L,89,109,198,89.1,109.1,99.9,0.386,0.398,0.458,45.5,82.1,6,12.5,0.386,14.1,21.8,0.301,0.505,12,73.9,0.187
2752,2019,11/22/19,DET,Home,ATL,W,128,103,231,130.2,104.8,98.3,0.244,0.415,0.705,55.3,61.2,13.2,19.6,0.701,16.5,33.3,0.159,0.489,16.6,75,0.193
2753,2019,11/23/19,DET,Away,MIL,L,90,104,194,87.8,101.4,102.5,0.11,0.385,0.472,44.9,59.5,6.8,6.4,0.462,13.6,13,0.066,0.565,18.6,79.1,0.107
2754,2019,11/25/19,DET,Home,ORL,W,103,88,191,111.8,95.5,92.1,0.316,0.481,0.572,54.4,67.6,6.5,8.5,0.519,12.6,21.4,0.266,0.429,8.8,83.3,0.19
2755,2019,11/27/19,DET,Away,CHO,L,101,102,203,113.1,114.3,89.3,0.17,0.364,0.534,52.9,56.1,2.2,3.4,0.523,7.8,22.5,0.102,0.483,3,78.7,0.193
2756,2019,11/29/19,DET,Home,CHO,L,107,110,217,122.1,125.6,87.6,0.241,0.422,0.583,54.9,65.9,5.7,8.9,0.584,12.4,35,0.12,0.596,10,73.8,0.133
2757,2019,12/1/19,DET,Home,SAS,W,132,98,230,135.8,100.8,97.2,0.205,0.352,0.688,61.7,63.5,5.1,8.1,0.676,13.5,31.4,0.148,0.449,7.6,84.8,0.216
2758,2019,12/3/19,DET,Away,CLE,W,127,94,221,133,98.4,95.5,0.117,0.372,0.642,53.5,64.7,11.5,11.1,0.638,9.2,26.3,0.074,0.467,11.9,75,0.111
2759,2019,12/4/19,DET,Home,MIL,L,103,127,230,100,123.3,103,0.237,0.387,0.502,42.1,64.1,4.9,5.5,0.478,9.7,16.7,0.151,0.567,12.1,75.6,0.278
2760,2019,12/6/19,DET,Home,IND,W,108,101,209,111.6,104.4,96.8,0.299,0.287,0.549,60.7,53.8,7.2,8.5,0.511,14.7,33.3,0.218,0.512,10.7,88.1,0.193
2761,2019,12/9/19,DET,Away,NOP,W,105,103,208,103.9,101.9,101,0.318,0.412,0.542,50.5,41.7,5.9,5.7,0.488,15.7,22.2,0.259,0.484,10.6,78.3,0.165
2762,2019,12/12/19,DET,Home,DAL,L,111,122,233,113.8,125.1,97.5,0.258,0.472,0.56,39.5,57.5,8.2,4.5,0.534,6.6,10.9,0.18,0.602,10.1,72.5,0.182
